"longitude","latitude","station_name"
"860640",-95.1428,31.8086,"RUSK"
"965930",-101.0422,39.7997,"ATWOOD"
"965931",-105.3603,42.7467,"DOUGLAS 1 SE"
"965932",-93.1675,35.2342,"DARDANELLE"
"965933",-95.8364,42.0633,"CASTANA EXP FARM"
"965934",-99.3358,38.8586,"HAYS 1 S"
"965935",-101.2767,45.8383,"MC INTOSH 6 SE"
"965936",-106.4278,36.2403,"ABIQUIU DAM"
"965937",-89.3453,43.1406,"MADISON DANE RGNL AP"
"965938",-151.4908,59.6419,"HOMER AP"
"965939",-96.9406,48.7714,"HALLOCK"
"965940",144.7961,13.4836,"GUAM INTL AP"
"965941",-96.3792,42.3914,"SIOUX CITY GATEWAY AP"
"965942",-91.5881,42.05,"CEDAR RAPIDS NO 1"
"965943",-102.2036,42.8947,"GORDON 6N"
"965944",-105.6747,41.3119,"LARAMIE RGNL AP"
"965945",-111.3703,35.5247,"WUPATKI NM"
"965946",-92.4369,39.4194,"MOBERLY"
"965947",-89.9328,31.9544,"D'LO 2 SW"
"965948",-97.2417,48.9711,"PEMBINA"
"965949",-121.1431,48.7142,"DIABLO DAM"
"965950",-94.6833,40.2394,"CONCEPTION"
"965951",-91.9683,40.7275,"KEOSAUQUA"
"965952",-97.2608,42.6167,"HARTINGTON"
"965953",-100.2228,40.3761,"MEDICINE CREEK DAM"
"965954",-100.3456,37.8131,"CIMARRON"
"965955",-101.2922,47.8214,"MAX"
"965956",-99.3808,39.245,"PLAINVILLE 4WNW"
"965957",-97.5606,44.3867,"DE SMET"
"965958",-93.1264,45.5506,"CAMBRIDGE 5ESE"
"965959",-109.8378,31.9356,"PEARCE - SUNSITES"
"965960",-96.7289,43.5878,"SIOUX FALLS"
"965961",-95.755,39.4578,"HOLTON"
"965962",-92.4394,40.7597,"BLOOMFIELD 1 WNW"
"965963",-111.0125,39.2078,"CASTLE DALE"
"965964",-81.4167,30.4,"MAYPORT PILOT STN"
"965965",-86.2408,42.0147,"EAU CLAIRE 4 NE"
"965966",-91.5647,40.9486,"MT PLEASANT 1 SSW"
"965967",-96.3258,44.0139,"PIPESTONE"
"965968",-93.3269,43.1544,"MASON CITY MUNI AP"
"965969",-99.8403,43.3686,"WINNER"
"965970",-91.5511,44.1331,"DODGE"
"965971",-92.4011,42.5544,"WATERLOO MUNI AP"
"965972",-105.4919,44.2644,"GILLETTE 4SE"
"965973",-92.7594,42.3647,"GRUNDY CTR"
"965974",-93.2225,39.1342,"MARSHALL"
"965975",-97.9842,40.0314,"SUPERIOR 4E"
"965976",-100.9447,39.1131,"OAKLEY 4W"
"965977",-93.6531,41.5339,"DES MOINES INTL AP"
"965978",-122.6003,45.5908,"PORTLAND INTL AP"
"965979",-88.9167,35.5931,"JACKSON MCKELLAR AP"
"965980",-89.9864,35.0564,"MEMPHIS INTL AP"
"965981",-92.4467,41.1078,"OTTUMWA INDUSTRIAL AP"
"965982",-124.1036,40.4831,"SCOTIA"
"965983",-108.3794,39.5008,"ALTENBERN"
"965984",-104.9742,38.8417,"RUXTON PARK"
"965985",-94.0475,40.8236,"BEACONSFIELD"
"965986",-106.9092,40.1561,"YAMPA"
"965987",-84.65,40.1,"GREENVILLE WTP"
"965988",-89.9958,42.4006,"STOCKTON 3 NNE"
"965989",-124.4242,42.4036,"GOLD BEACH RS"
"965990",-104.7956,37.6303,"WALSENBURG 1 NW"
"965991",-99.0303,42.5136,"ATKINSON 3SW"
"965992",-89.8467,38.52,"BELLEVILLE SIU RSCH"
"965993",-112.8097,34.9281,"WALNUT CREEK"
"965994",-91.9194,44.3272,"ALMA DAM 4"
"965995",-92.5747,40.2058,"KIRKSVILLE"
"965996",-91.3672,30.7267,"NEW ROADS 5 NE"
"965997",-99.4192,39.4031,"WEBSTER DAM"
"965998",-122.4622,38.2994,"SONOMA"
"965999",-85.8678,41.2633,"WARSAW"
"966000",-95.4242,37.9233,"IOLA 1 W"
"966001",-97.5228,45.3331,"WEBSTER"
"966002",-94.7086,37.8428,"FT SCOTT"
"966003",-99.0383,45.4478,"IPSWICH"
"966004",-108.0514,37.2308,"FT LEWIS"
"966005",-96.1058,38.8592,"ESKRIDGE"
"966006",-104.3378,37.2622,"TRINIDAD PERRY STOKES AP"
"966007",-97.1494,44.9047,"WATERTOWN RGNL AP"
"966008",-96.9469,40.6194,"CRETE"
"966009",-88.3264,38.3806,"FAIRFIELD RADIO WFIW"
"966010",-95.0653,42.8931,"SIOUX RAPIDS 4 E"
"966011",-87.8628,36.4819,"DOVER 1 W"
"966012",-99.1433,41.7769,"BURWELL"
"966013",-103.0214,41.2294,"SIDNEY 6 NNW"
"966014",-94.0347,39.7425,"HAMILTON 2W"
"966015",-105.8667,40.185,"GRAND LAKE 6 SSW"
"966016",-112.4567,34.7569,"CHINO VALLEY"
"966017",-91.375,40.3967,"KEOKUK LOCK DAM 19"
"966018",-103.7008,41.9481,"MITCHELL 5E"
"966019",-101.5325,40.0503,"BENKELMAN"
"966020",-87.9044,42.955,"MILWAUKEE MITCHELL AP"
"966021",-121.7942,38.6828,"WOODLAND 1 WNW"
"966022",-96.5994,39.2475,"TUTTLE CREEK LAKE"
"966023",-109.4117,40.9317,"FLAMING GORGE"
"966024",-85.2014,35.0311,"CHATTANOOGA LOVELL AP"
"966025",-95.1842,43.3828,"MILFORD 4 NW"
"966026",-95.6639,38.9503,"TOPEKA FORBES FLD"
"966027",-96.2328,41.7767,"TEKAMAH"
"966028",-101.7758,38.4661,"TRIBUNE 1W"
"966029",-105.1314,40.6147,"FT COLLINS"
"966030",-100.1514,40.9394,"GOTHENBURG"
"966031",-88.7719,37.0683,"PADUCAH"
"966032",-121.5828,37.7967,"TRACY PUMPING PLT"
"966033",-90.5233,41.4653,"MOLINE QUAD CITY INTL AP"
"966034",-105.8614,37.4389,"ALAMOSA SAN LUIS AP"
"966035",-89.0339,40.9125,"MINONK"
"966036",-104.0503,48.8744,"WESTBY"
"966037",-102.7217,40.1236,"YUMA"
"966038",-101.7206,41.1275,"OGALLALA"
"966039",-102.4372,41.7608,"CRESCENT LAKE NWR"
"966040",-91.9928,34.6033,"KEO"
"966041",-96.485,43.0031,"HAWARDEN"
"966042",-91.4978,34.9772,"DES ARC"
"966043",-95.0803,44.5483,"REDWOOD FALLS MUNI AP"
"966044",-121.6744,46.6092,"PACKWOOD"
"966045",-102.6306,38.0936,"LAMAR"
"966046",-96.8667,42.2647,"WAKEFIELD"
"966047",-90.3431,39.1025,"JERSEYVILLE 2 SW"
"966048",-98.7783,39.7772,"SMITH CTR"
"966049",-91.7683,38.1311,"VICHY ROLLA NATIONAL AP"
"966050",-108.4447,35.3364,"MCGAFFEY 5 SE"
"966051",-93.0486,34.5128,"HOT SPRINGS 1 NNE"
"966052",-100.8292,40.2333,"CULBERTSON"
"966053",-122.2536,40.1519,"RED BLUFF MUNI AP"
"966054",-84.4417,33.63,"ATLANTA HARTSFIELD INTL AP"
"966055",-103.4819,44.0622,"PACTOLA DAM"
"966056",-101.7,39.3669,"GOODLAND"
"966057",-101.5697,48.4583,"FOXHOLM 7 N"
"966058",-68.6136,47.2386,"FT KENT"
"966059",-81.8433,27.8986,"BARTOW"
"966060",-86.5067,40.2986,"FRANKFORT DISPOSAL PLT"
"966061",-87.3353,36.5472,"CLARKSVILLE WWTP"
"966062",-97.7047,39.1247,"MINNEAPOLIS"
"966063",-94.5969,39.1208,"KANSAS CITY DOWNTOWN AP"
"966064",-99.8297,39.3756,"HILL CITY MUNI AP"
"966065",-83.5286,34.5181,"CORNELIA"
"966066",-95.1464,39.9808,"OREGON"
"966067",-102.5947,48.4564,"STANLEY 3 NNW"
